#TYPE System.Management.Automation.PSCustomObject
"ServiceName","StartType","Status"
"AxInstSV","2","Stopped"
"AJRouter","2","Stopped"
"AppReadiness","2","Running"
"hvsics","3","Stopped"
"AppIDSvc","2","Running"
"Appinfo","2","Stopped"
"ALG","2","Stopped"
"AppMgmt","2","Running"
"AppXSvc","2","Stopped"
"AssignedAccessManagerSvc","2","Stopped"
"tzautoupdate","2","Running"
"BthAvctpSvc","2","Stopped"
"BITS","4","Running"
"BrokerInfrastructure","3","Running"
"BFE","3","Stopped"
"BDESVC","2","Stopped"
"wbengine","2","Stopped"
"BTAGService","2","Stopped"
"bthserv","2","Stopped"
"PeerDistSvc","2","Stopped"
"camsvc","2","Stopped"
"autotimesvc","2","Stopped"
"CertPropSvc","2","Stopped"
"ClipSVC","2","Running"
"KeyIso","2","Running"
"EventSystem","3","Stopped"
"COMSysApp","2","Running"
"Browser","2","Running"
"CDPSvc","4","Running"
"DiagTrack","3","Running"
"CmService","3","Running"
"CoreMessagingRegistrar","3","Running"
"VaultSvc","2","Running"
"CryptSvc","3","Running"
"DsSvc","2","Running"
"DusmSvc","3","Running"
"DcomLaunch","3","Stopped"
"DoSvc","4","Running"
"DeviceAssociationService","3","Stopped"
"DeviceInstall","2","Stopped"
"DmEnrollmentSvc","2","Stopped"
"dmwappushservice","2","Stopped"
"DsmSvc","2","Stopped"
"DevQueryBroker","2","Running"
"Dhcp","3","Stopped"
"diagsvc","2","Running"
"DPS","3","Running"
"WdiServiceHost","2","Stopped"
"WdiSystemHost","2","Stopped"
"DisplayEnhancementService","2","Running"
"DispBrokerDesktopSvc","4","Running"
"TrkWks","3","Stopped"
"MSDTC","2","Running"
"Dnscache","3","Stopped"
"MapsBroker","4","Stopped"
"embeddedmode","2","Running"
"EFS","2","Stopped"
"EntAppSvc","2","Stopped"
"EapHost","2","Stopped"
"Fax","2","Stopped"
"fhsvc","2","Running"
"fdPHost","2","Running"
"FDResPub","2","Running"
"lfsvc","2","Stopped"
"GraphicsPerfSvc","2","Stopped"
"gpsvc","3","Stopped"
"HgClientService","2","Stopped"
"hns","2","Running"
"hidserv","2","Running"
"HvHost","2","Stopped"
"vmickvpexchange","2","Stopped"
"gcs","2","Stopped"
"vmicguestinterface","2","Stopped"
"vmicshutdown","2","Stopped"
"vmicheartbeat","2","Stopped"
"vmcompute","2","Stopped"
"vmicvmsession","2","Stopped"
"vmicrdv","2","Stopped"
"vmictimesync","2","Running"
"vmms","3","Stopped"
"vmicvss","2","Stopped"
"IKEEXT","2","Stopped"
"SharedAccess","2","Running"
"iphlpsvc","3","Stopped"
"IpxlatCfgSvc","2","Stopped"
"PolicyAgent","2","Stopped"
"KtmRm","2","Stopped"
"LxpSvc","2","Stopped"
"lltdsvc","2","Stopped"
"wlpasvc","2","Running"
"LSM","3","Stopped"
"LxssManager","2","Stopped"
"diagnosticshub.standardcollector.service","2","Stopped"
"wlidsvc","2","Stopped"
"AppVClient","1","Running"
"WdNisSvc","2","Running"
"WinDefend","3","Stopped"
"MicrosoftEdgeElevationService","2","Stopped"
"edgeupdate","4","Stopped"
"edgeupdatem","2","Stopped"
"MSiSCSI","2","Stopped"
"MsKeyboardFilter","1","Running"
"NgcSvc","2","Running"
"NgcCtnrSvc","2","Running"
"swprv","2","Stopped"
"smphost","2","Stopped"
"InstallService","2","Stopped"
"SmsRouter","2","Stopped"
"NaturalAuthentication","2","Stopped"
"NetTcpPortSharing","1","Stopped"
"Netlogon","2","Running"
"NcdAutoSetup","2","Running"
"NcbService","2","Stopped"
"Netman","2","Stopped"
"NcaSvc","2","Running"
"netprofm","2","Running"
"NlaSvc","3","Stopped"
"NetSetupSvc","2","Running"
"nsi","3","Running"
"nvagent","2","Stopped"
"ose","2","Stopped"
"CscService","2","Stopped"
"ssh-agent","1","Stopped"
"defragsvc","2","Stopped"
"WpcMonSvc","2","Stopped"
"SEMgrSvc","2","Stopped"
"PNRPsvc","2","Stopped"
"p2psvc","2","Stopped"
"p2pimsvc","2","Stopped"
"PerfHost","2","Stopped"
"pla","2","Stopped"
"PhoneSvc","2","Running"
"PlugPlay","2","Stopped"
"PNRPAutoReg","2","Stopped"
"WPDBusEnum","2","Running"
"Power","3","Running"
"Spooler","3","Stopped"
"PrintNotify","2","Stopped"
"wercplsupport","2","Running"
"PcaSvc","3","Stopped"
"QWAVE","2","Stopped"
"RmSvc","2","Stopped"
"TroubleshootingSvc","2","Stopped"
"RasAuto","2","Stopped"
"RasMan","2","Stopped"
"SessionEnv","2","Stopped"
"TermService","2","Stopped"
"UmRdpService","2","Running"
"RpcSs","3","Stopped"
"RpcLocator","2","Stopped"
"RemoteRegistry","1","Stopped"
"RetailDemo","2","Stopped"
"RemoteAccess","1","Running"
"RpcEptMapper","3","Stopped"
"seclogon","2","Stopped"
"SstpSvc","2","Running"
"SamSs","3","Running"
"wscsvc","4","Stopped"
"SensorDataService","2","Stopped"
"SensrSvc","2","Running"
"SensorService","2","Running"
"LanmanServer","3","Stopped"
"shpamsvc","1","Running"
"ShellHWDetection","3","Stopped"
"SCardSvr","1","Stopped"
"ScDeviceEnum","2","Stopped"
"SCPolicySvc","2","Stopped"
"SNMPTRAP","2","Stopped"
"sppsvc","4","Stopped"
"SharedRealitySvc","2","Stopped"
"svsvc","2","Running"
"SSDPSRV","2","Running"
"StateRepository","2","Stopped"
"WiaRpc","2","Running"
"StorSvc","2","Stopped"
"TieringEngineService","2","Running"
"SysMain","3","Running"
"SENS","3","Running"
"SystemEventsBroker","3","Running"
"SgrmBroker","4","Running"
"Schedule","3","Running"
"lmhosts","3","Stopped"
"TapiSrv","2","Running"
"Themes","3","Running"
"TimeBrokerSvc","2","Stopped"
"TabletInputService","2","Running"
"UsoSvc","4","Running"
"upnphost","2","Stopped"
"UevAgentService","1","Running"
"UserManager","3","Running"
"ProfSvc","3","Stopped"
"vds","2","Stopped"
"VSS","2","Stopped"
"VacSvc","2","Stopped"
"WalletService","2","Stopped"
"WarpJITSvc","2","Running"
"TokenBroker","2","Stopped"
"WebClient","2","Stopped"
"WFDSConMgrSvc","2","Running"
"AudioSrv","3","Running"
"AudioEndpointBuilder","3","Stopped"
"SDRSVC","2","Stopped"
"WbioSrvc","3","Stopped"
"FrameServer","2","Running"
"wcncsvc","2","Running"
"Wcmsvc","3","Stopped"
"Sense","2","Running"
"MpsSvc","3","Stopped"
"WEPHOSTSVC","2","Stopped"
"WerSvc","2","Stopped"
"Wecsvc","2","Running"
"EventLog","3","Running"
"FontCache","3","Running"
"StiSvc","4","Stopped"
"wisvc","2","Stopped"
"msiserver","2","Running"
"LicenseManager","2","Running"
"Winmgmt","3","Stopped"
"WManSvc","2","Stopped"
"WMPNetworkSvc","2","Stopped"
"MixedRealityOpenXRSvc","2","Stopped"
"icssvc","2","Stopped"
"TrustedInstaller","2","Stopped"
"spectrum","2","Stopped"
"perceptionsimulation","2","Stopped"
"FontCache3.0.0.0","2","Running"
"WpnService","2","Stopped"
"PushToInstall","2","Stopped"
"WinRM","2","Running"
"WSearch","4","Running"
"SecurityHealthService","2","Stopped"
"W32Time","2","Stopped"
"wuauserv","2","Stopped"
"WaaSMedicSvc","2","Running"
"WinHttpAutoProxySvc","2","Stopped"
"dot3svc","2","Running"
"Wlansvc","3","Stopped"
"wmiApSrv","2","Stopped"
"workfolderssvc","2","Running"
"LanmanWorkstation","3","Stopped"
"WwanSvc","2","Stopped"
"XboxGipSvc","2","Stopped"
"XblAuthManager","2","Stopped"
"XblGameSave","2","Stopped"
"XboxNetApiSvc","2","Stopped"
