#TYPE System.Management.Automation.PSCustomObject
"ServiceName","StartType","Status"
"AxInstSV","1",""
"SensrSvc","1",""
"AeLookupSvc","2",""
"AppIDSvc","2",""
"Appinfo","2",""
"ALG","1",""
"AppMgmt","1",""
"BITS","1",""
"BFE","1",""
"BDESVC","1",""
"wbengine","1",""
"bthserv","1",""
"PeerDistSvc","1",""
"CertPropSvc","1",""
"KeyIso","1",""
"EventSystem","3",""
"COMSysApp","2",""
"Browser","2",""
"VaultSvc","1",""
"CryptSvc","3",""
"DcomLaunch","3",""
"UxSms","1",""
"Dhcp","3",""
"DPS","1",""
"WdiServiceHost","1",""
"WdiSystemHost","1",""
"defragsvc","2",""
"TrkWks","1",""
"MSDTC","2",""
"Dnscache","1",""
"EFS","1",""
"EapHost","1",""
"Fax","1",""
"fdPHost","1",""
"FDResPub","1",""
"gpsvc","3",""
"hkmsvc","1",""
"HomeGroupListener","1",""
"HomeGroupProvider","1",""
"hidserv","1",""
"IKEEXT","1",""
"UI0Detect","1",""
"SharedAccess","1",""
"iphlpsvc","1",""
"PolicyAgent","1",""
"KtmRm","2",""
"lltdsvc","1",""
"Mcx2Svc","1",""
"clr_optimization_v2.0.50727","2",""
"MSiSCSI","1",""
"swprv","2",""
"MMCSS","3",""
"NetTcpPortSharing","1",""
"Netlogon","1",""
"napagent","1",""
"Netman","2",""
"netprofm","2",""
"NlaSvc","3",""
"nsi","3",""
"CscService","1",""
"WPCSvc","1",""
"PNRPsvc","1",""
"p2psvc","1",""
"p2pimsvc","1",""
"pla","2",""
"PlugPlay","3",""
"IPBusEnum","1",""
"PNRPAutoReg","1",""
"WPDBusEnum","1",""
"Power","3",""
"Spooler","3",""
"wercplsupport","1",""
"PcaSvc","1",""
"ProtectedStorage","2",""
"QWAVE","1",""
"RasAuto","2",""
"RasMan","2",""
"SessionEnv","1",""
"TermService","1",""
"UmRdpService","1",""
"RpcSs","3",""
"RpcLocator","1",""
"RemoteRegistry","1",""
"RemoteAccess","1",""
"RpcEptMapper","3",""
"seclogon","2",""
"SstpSvc","1",""
"SamSs","3",""
"wscsvc","1",""
"LanmanServer","3",""
"ShellHWDetection","3",""
"SCardSvr","1",""
"SCPolicySvc","1",""
"SNMPTRAP","1",""
"sppsvc","4",""
"sppuinotify","2",""
"SSDPSRV","2",""
"StorSvc","1",""
"SysMain","3",""
"SENS","3",""
"TabletInputService","1",""
"Schedule","3",""
"lmhosts","1",""
"TapiSrv","1",""
"Themes","1",""
"THREADORDER","2",""
"TBS","1",""
"upnphost","2",""
"ProfSvc","3",""
"vds","2",""
"VSS","2",""
"WebClient","1",""
"AudioSrv","3",""
"AudioEndpointBuilder","3",""
"SDRSVC","2",""
"WbioSrvc","1",""
"idsvc","1",""
"WcsPlugInService","1",""
"wcncsvc","1",""
"WinDefend","1",""
"WerSvc","1",""
"Wecsvc","2",""
"EventLog","3",""
"MpsSvc","1",""
"FontCache","4",""
"StiSvc","2",""
"msiserver","2",""
"Winmgmt","3",""
"ehRecvr","1",""
"ehSched","1",""
"WMPNetworkSvc","1",""
"TrustedInstaller","2",""
"FontCache3.0.0.0","1",""
"WinRM","1",""
"WSearch","1",""
"W32Time","1",""
"wuauserv","1",""
"WinHttpAutoProxySvc","1",""
"dot3svc","1",""
"Wlansvc","1",""
"wmiApSrv","2",""
"LanmanWorkstation","3",""
"WwanSvc","1",""
