#TYPE System.Management.Automation.PSCustomObject
"ServiceName","StartType","Status"
"AxInstSV","2",""
"SensrSvc","2",""
"AeLookupSvc","2",""
"AppIDSvc","2",""
"Appinfo","2",""
"ALG","2",""
"AppMgmt","1",""
"BITS","2",""
"BFE","3",""
"BDESVC","2",""
"wbengine","2",""
"bthserv","1",""
"PeerDistSvc","1",""
"CertPropSvc","1",""
"KeyIso","2",""
"EventSystem","3",""
"COMSysApp","2",""
"Browser","2",""
"VaultSvc","2",""
"CryptSvc","3",""
"DcomLaunch","3",""
"UxSms","3",""
"Dhcp","3",""
"DPS","3",""
"WdiServiceHost","2",""
"WdiSystemHost","2",""
"defragsvc","2",""
"TrkWks","1",""
"MSDTC","2",""
"Dnscache","3",""
"EFS","2",""
"EapHost","2",""
"Fax","2",""
"fdPHost","2",""
"FDResPub","3",""
"gpsvc","3",""
"hkmsvc","2",""
"HomeGroupListener","2",""
"HomeGroupProvider","2",""
"hidserv","2",""
"IKEEXT","2",""
"UI0Detect","2",""
"SharedAccess","1",""
"iphlpsvc","1",""
"PolicyAgent","2",""
"KtmRm","2",""
"lltdsvc","2",""
"Mcx2Svc","1",""
"clr_optimization_v2.0.50727","2",""
"MSiSCSI","1",""
"swprv","2",""
"MMCSS","3",""
"NetTcpPortSharing","1",""
"Netlogon","1",""
"napagent","1",""
"Netman","2",""
"netprofm","2",""
"NlaSvc","3",""
"nsi","3",""
"CscService","1",""
"WPCSvc","1",""
"PNRPsvc","2",""
"p2psvc","2",""
"p2pimsvc","2",""
"pla","2",""
"PlugPlay","3",""
"IPBusEnum","2",""
"PNRPAutoReg","2",""
"WPDBusEnum","2",""
"Power","3",""
"Spooler","3",""
"wercplsupport","2",""
"PcaSvc","2",""
"ProtectedStorage","2",""
"QWAVE","2",""
"RasAuto","2",""
"RasMan","2",""
"SessionEnv","2",""
"TermService","2",""
"UmRdpService","2",""
"RpcSs","3",""
"RpcLocator","1",""
"RemoteRegistry","1",""
"RemoteAccess","1",""
"RpcEptMapper","3",""
"seclogon","2",""
"SstpSvc","2",""
"SamSs","3",""
"wscsvc","4",""
"LanmanServer","3",""
"ShellHWDetection","3",""
"SCardSvr","1",""
"SCPolicySvc","1",""
"SNMPTRAP","1",""
"sppsvc","4",""
"sppuinotify","2",""
"SSDPSRV","2",""
"StorSvc","1",""
"SysMain","3",""
"SENS","3",""
"TabletInputService","2",""
"Schedule","3",""
"lmhosts","3",""
"TapiSrv","2",""
"Themes","3",""
"THREADORDER","2",""
"TBS","2",""
"upnphost","2",""
"ProfSvc","3",""
"vds","2",""
"VSS","2",""
"WebClient","2",""
"AudioSrv","3",""
"AudioEndpointBuilder","3",""
"SDRSVC","2",""
"WbioSrvc","2",""
"idsvc","2",""
"WcsPlugInService","2",""
"wcncsvc","1",""
"WinDefend","4",""
"WerSvc","2",""
"Wecsvc","2",""
"EventLog","3",""
"MpsSvc","3",""
"FontCache","4",""
"StiSvc","2",""
"msiserver","2",""
"Winmgmt","3",""
"ehRecvr","2",""
"ehSched","2",""
"WMPNetworkSvc","1",""
"TrustedInstaller","2",""
"FontCache3.0.0.0","2",""
"WinRM","2",""
"WSearch","1",""
"W32Time","2",""
"wuauserv","4",""
"WinHttpAutoProxySvc","2",""
"dot3svc","2",""
"Wlansvc","2",""
"wmiApSrv","2",""
"LanmanWorkstation","3",""
"WwanSvc","2",""
