#TYPE System.Management.Automation.PSCustomObject
"ServiceName","StartType","Status"
"AxInstSV","1",""
"SensrSvc","1",""
"AeLookupSvc","2",""
"AppIDSvc","2",""
"Appinfo","2",""
"ALG","1",""
"AppMgmt","1",""
"BITS","2",""
"BFE","3",""
"BDESVC","1",""
"wbengine","2",""
"bthserv","1",""
"PeerDistSvc","1",""
"CertPropSvc","1",""
"KeyIso","2",""
"EventSystem","3",""
"COMSysApp","2",""
"Browser","2",""
"VaultSvc","1",""
"CryptSvc","3",""
"DcomLaunch","3",""
"UxSms","3",""
"Dhcp","3",""
"DPS","1",""
"WdiServiceHost","1",""
"WdiSystemHost","1",""
"defragsvc","2",""
"TrkWks","1",""
"MSDTC","2",""
"Dnscache","3",""
"EFS","1",""
"EapHost","2",""
"Fax","1",""
"fdPHost","1",""
"FDResPub","1",""
"gpsvc","3",""
"hkmsvc","1",""
"HomeGroupListener","2",""
"HomeGroupProvider","2",""
"hidserv","1",""
"IKEEXT","2",""
"UI0Detect","1",""
"SharedAccess","1",""
"iphlpsvc","1",""
"PolicyAgent","2",""
"KtmRm","2",""
"lltdsvc","1",""
"Mcx2Svc","1",""
"clr_optimization_v2.0.50727","2",""
"MSiSCSI","1",""
"swprv","2",""
"MMCSS","3",""
"NetTcpPortSharing","1",""
"Netlogon","1",""
"napagent","1",""
"Netman","2",""
"netprofm","2",""
"NlaSvc","3",""
"nsi","3",""
"CscService","1",""
"WPCSvc","1",""
"PNRPsvc","1",""
"p2psvc","1",""
"p2pimsvc","1",""
"pla","2",""
"PlugPlay","3",""
"IPBusEnum","1",""
"PNRPAutoReg","1",""
"WPDBusEnum","1",""
"Power","3",""
"Spooler","3",""
"wercplsupport","1",""
"PcaSvc","1",""
"ProtectedStorage","2",""
"QWAVE","1",""
"RasAuto","2",""
"RasMan","2",""
"SessionEnv","1",""
"TermService","1",""
"UmRdpService","1",""
"RpcSs","3",""
"RpcLocator","1",""
"RemoteRegistry","1",""
"RemoteAccess","1",""
"RpcEptMapper","3",""
"seclogon","2",""
"SstpSvc","2",""
"SamSs","3",""
"wscsvc","4",""
"LanmanServer","3",""
"ShellHWDetection","3",""
"SCardSvr","1",""
"SCPolicySvc","1",""
"SNMPTRAP","1",""
"sppsvc","4",""
"sppuinotify","2",""
"SSDPSRV","2",""
"StorSvc","1",""
"SysMain","3",""
"SENS","3",""
"TabletInputService","1",""
"Schedule","3",""
"lmhosts","3",""
"TapiSrv","2",""
"Themes","3",""
"THREADORDER","2",""
"TBS","1",""
"upnphost","2",""
"ProfSvc","3",""
"vds","2",""
"VSS","2",""
"WebClient","1",""
"AudioSrv","3",""
"AudioEndpointBuilder","3",""
"SDRSVC","2",""
"WbioSrvc","1",""
"idsvc","1",""
"WcsPlugInService","1",""
"wcncsvc","1",""
"WinDefend","4",""
"WerSvc","1",""
"Wecsvc","2",""
"EventLog","3",""
"MpsSvc","3",""
"FontCache","4",""
"StiSvc","2",""
"msiserver","2",""
"Winmgmt","3",""
"ehRecvr","1",""
"ehSched","1",""
"WMPNetworkSvc","1",""
"TrustedInstaller","2",""
"FontCache3.0.0.0","2",""
"WinRM","1",""
"WSearch","1",""
"W32Time","2",""
"wuauserv","4",""
"WinHttpAutoProxySvc","1",""
"dot3svc","2",""
"Wlansvc","2",""
"wmiApSrv","2",""
"LanmanWorkstation","3",""
"WwanSvc","1",""
